name,alias,id,review_count,rating,url,location,coordinates
K. Pacho,k-pacho-new-hyde-park,hcMoQDajkgihtGgNwL7k6w,721,3.0,https://www.yelp.com/biz/k-pacho-new-hyde-park?adjust_creative=bMPz0NoFK6qQZAimQncxVw&utm_campaign=yelp_api_v3&utm_medium=api_v3_graphql&utm_source=bMPz0NoFK6qQZAimQncxVw,"{'city': 'New Hyde Park', 'postal_code': '11040'}","{'latitude': 40.75271233, 'longitude': -73.69951483}"
Majlis Restaurant & Lounge,majlis-restaurant-and-lounge-bellerose-2,xO18YHvpixE31AZEgo27kA,192,3.5,https://www.yelp.com/biz/majlis-restaurant-and-lounge-bellerose-2?adjust_creative=bMPz0NoFK6qQZAimQncxVw&utm_campaign=yelp_api_v3&utm_medium=api_v3_graphql&utm_source=bMPz0NoFK6qQZAimQncxVw,"{'city': 'Bellerose', 'postal_code': '11426'}","{'latitude': 40.742581, 'longitude': -73.7219231}"
Remedy Lounge and Cafe,remedy-lounge-and-cafe-bellerose,LGGkKFMglQ_jW7J1ZcHATQ,57,4.0,https://www.yelp.com/biz/remedy-lounge-and-cafe-bellerose?adjust_creative=bMPz0NoFK6qQZAimQncxVw&utm_campaign=yelp_api_v3&utm_medium=api_v3_graphql&utm_source=bMPz0NoFK6qQZAimQncxVw,"{'city': 'Bellerose', 'postal_code': '11426'}","{'latitude': 40.7437943, 'longitude': -73.7184192}"
Cajun Crab Shack,cajun-crab-shack-floral-park,8rmEK6frip8WuGuBJ0QZvw,112,4.0,https://www.yelp.com/biz/cajun-crab-shack-floral-park?adjust_creative=bMPz0NoFK6qQZAimQncxVw&utm_campaign=yelp_api_v3&utm_medium=api_v3_graphql&utm_source=bMPz0NoFK6qQZAimQncxVw,"{'city': 'Floral Park', 'postal_code': '11001'}","{'latitude': 40.728682, 'longitude': -73.702319}"
Brew House,brew-house-new-hyde-park,Vg7g8Eho7Jsw2ysImd3Bkg,64,4.0,https://www.yelp.com/biz/brew-house-new-hyde-park?adjust_creative=bMPz0NoFK6qQZAimQncxVw&utm_campaign=yelp_api_v3&utm_medium=api_v3_graphql&utm_source=bMPz0NoFK6qQZAimQncxVw,"{'city': 'New Hyde Park', 'postal_code': '11040'}","{'latitude': 40.74347, 'longitude': -73.69258}"
Elsie Lane,elsie-lane-new-hyde-park-2,KYqmJsGwTCOPWY2_--8aOg,112,4.0,https://www.yelp.com/biz/elsie-lane-new-hyde-park-2?adjust_creative=bMPz0NoFK6qQZAimQncxVw&utm_campaign=yelp_api_v3&utm_medium=api_v3_graphql&utm_source=bMPz0NoFK6qQZAimQncxVw,"{'city': 'New Hyde Park', 'postal_code': '11040'}","{'latitude': 40.73118, 'longitude': -73.69297}"
Trinity Restaurant & Bar,trinity-restaurant-and-bar-floral-park-3,46Se1gaJ89TvidLfY0gMFQ,85,4.0,https://www.yelp.com/biz/trinity-restaurant-and-bar-floral-park-3?adjust_creative=bMPz0NoFK6qQZAimQncxVw&utm_campaign=yelp_api_v3&utm_medium=api_v3_graphql&utm_source=bMPz0NoFK6qQZAimQncxVw,"{'city': 'Floral Park', 'postal_code': '11001'}","{'latitude': 40.72837, 'longitude': -73.70384}"
Al Nar Hookah Lounge,al-nar-hookah-lounge-new-hyde-park-2,SOi5aLm8K_0jvtgIeDQmqw,42,4.0,https://www.yelp.com/biz/al-nar-hookah-lounge-new-hyde-park-2?adjust_creative=bMPz0NoFK6qQZAimQncxVw&utm_campaign=yelp_api_v3&utm_medium=api_v3_graphql&utm_source=bMPz0NoFK6qQZAimQncxVw,"{'city': 'New Hyde Park', 'postal_code': '11040'}","{'latitude': 40.7522202, 'longitude': -73.702545}"
Cabo Sports bar & Mexican Grill,cabo-sports-bar-and-mexican-grill-new-hyde-park-2,NEDdEnMW-Nyq8WQy4ukQDA,61,3.5,https://www.yelp.com/biz/cabo-sports-bar-and-mexican-grill-new-hyde-park-2?adjust_creative=bMPz0NoFK6qQZAimQncxVw&utm_campaign=yelp_api_v3&utm_medium=api_v3_graphql&utm_source=bMPz0NoFK6qQZAimQncxVw,"{'city': 'New Hyde Park', 'postal_code': '11040'}","{'latitude': 40.7520828, 'longitude': -73.7027936}"
Sohna Punjab Indian Restaurant,sohna-punjab-indian-restaurant-bellerose,EEYLyO-mcKFU1ZgfutzOow,100,3.0,https://www.yelp.com/biz/sohna-punjab-indian-restaurant-bellerose?adjust_creative=bMPz0NoFK6qQZAimQncxVw&utm_campaign=yelp_api_v3&utm_medium=api_v3_graphql&utm_source=bMPz0NoFK6qQZAimQncxVw,"{'city': 'Bellerose', 'postal_code': '11426'}","{'latitude': 40.742581, 'longitude': -73.7219231}"
Charlie Bullfrogs,charlie-bullfrogs-floral-park,_62OagQiU_1eP5dEAAW98A,12,4.5,https://www.yelp.com/biz/charlie-bullfrogs-floral-park?adjust_creative=bMPz0NoFK6qQZAimQncxVw&utm_campaign=yelp_api_v3&utm_medium=api_v3_graphql&utm_source=bMPz0NoFK6qQZAimQncxVw,"{'city': 'Floral Park', 'postal_code': '11001'}","{'latitude': 40.72939, 'longitude': -73.6988499}"
Moonlight Pub,moonlight-pub-new-hyde-park,7eiVnP3ZkOc3tRRZ1nc11A,7,4.5,https://www.yelp.com/biz/moonlight-pub-new-hyde-park?adjust_creative=bMPz0NoFK6qQZAimQncxVw&utm_campaign=yelp_api_v3&utm_medium=api_v3_graphql&utm_source=bMPz0NoFK6qQZAimQncxVw,"{'city': 'New Hyde Park', 'postal_code': '11040'}","{'latitude': 40.73937, 'longitude': -73.70026}"
Pegasus Lounge,pegasus-lounge-floral-park,zi7kOxSr0D_isljHuph7Rg,16,3.0,https://www.yelp.com/biz/pegasus-lounge-floral-park?adjust_creative=bMPz0NoFK6qQZAimQncxVw&utm_campaign=yelp_api_v3&utm_medium=api_v3_graphql&utm_source=bMPz0NoFK6qQZAimQncxVw,"{'city': 'Floral Park', 'postal_code': '11001'}","{'latitude': 40.73736, 'longitude': -73.70954}"
Midas Hookah Lounge & Bar,midas-hookah-lounge-and-bar-queens-2,jVQ5dSRolss_QELXIbz44Q,21,3.5,https://www.yelp.com/biz/midas-hookah-lounge-and-bar-queens-2?adjust_creative=bMPz0NoFK6qQZAimQncxVw&utm_campaign=yelp_api_v3&utm_medium=api_v3_graphql&utm_source=bMPz0NoFK6qQZAimQncxVw,"{'city': 'Queens', 'postal_code': '11362'}","{'latitude': 40.7586839050055, 'longitude': -73.7358999252319}"
Towers Restaurant,towers-restaurant-floral-park-2,AtsG4Q1LRqinFF14fJkQsw,15,2.5,https://www.yelp.com/biz/towers-restaurant-floral-park-2?adjust_creative=bMPz0NoFK6qQZAimQncxVw&utm_campaign=yelp_api_v3&utm_medium=api_v3_graphql&utm_source=bMPz0NoFK6qQZAimQncxVw,"{'city': 'Floral Park', 'postal_code': '11005'}","{'latitude': 40.756818, 'longitude': -73.715035}"
Winchester's,winchesters-queens-village,avrbPKQqsMfx5q0pCRI-vg,10,3.5,https://www.yelp.com/biz/winchesters-queens-village?adjust_creative=bMPz0NoFK6qQZAimQncxVw&utm_campaign=yelp_api_v3&utm_medium=api_v3_graphql&utm_source=bMPz0NoFK6qQZAimQncxVw,"{'city': 'Queens Village', 'postal_code': '11427'}","{'latitude': 40.733327, 'longitude': -73.736551}"
Rivers Cafe,rivers-cafe-floral-park,Nrkvxr4xpZZnEYlLXnYaTw,3,4.5,https://www.yelp.com/biz/rivers-cafe-floral-park?adjust_creative=bMPz0NoFK6qQZAimQncxVw&utm_campaign=yelp_api_v3&utm_medium=api_v3_graphql&utm_source=bMPz0NoFK6qQZAimQncxVw,"{'city': 'Floral Park', 'postal_code': '11001'}","{'latitude': 40.729308, 'longitude': -73.699272}"
The Stadium,the-stadium-new-hyde-park,M8MEW0wNlhnbm1qryJwUxA,1,2.0,https://www.yelp.com/biz/the-stadium-new-hyde-park?adjust_creative=bMPz0NoFK6qQZAimQncxVw&utm_campaign=yelp_api_v3&utm_medium=api_v3_graphql&utm_source=bMPz0NoFK6qQZAimQncxVw,"{'city': 'New Hyde Park', 'postal_code': '11040'}","{'latitude': 40.73118, 'longitude': -73.69297}"
Nap TIme Liquid Creation,nap-time-liquid-creation-blauvelt,xygb0i04Ug0-V0flZ7gEDg,3,4.5,https://www.yelp.com/biz/nap-time-liquid-creation-blauvelt?adjust_creative=bMPz0NoFK6qQZAimQncxVw&utm_campaign=yelp_api_v3&utm_medium=api_v3_graphql&utm_source=bMPz0NoFK6qQZAimQncxVw,"{'city': 'Blauvelt', 'postal_code': '10913'}","{'latitude': 41.07956, 'longitude': -73.95426}"
